試験,太郎,新潟県,上越市,O,音楽ライブ,天体観測,野菜ソムリエ,カフェ巡り,パワースポット巡り
門田,健,北海道,留萌市,B,カラオケ,アクアリウム,歌舞伎,ガーデニング（園芸）,カービング
大平,千夏,京都府,京都市上京区,A,ジャズ,競馬,ドローン,寺巡り,観葉植物
小坂,兼,千葉県,佐倉市,A,楽器演奏,観葉植物,パワースポット巡り,利き酒,野菜ソムリエ
有村,碧海,岡山県,美作市,O,映画鑑賞,カービング,トレーディングカードゲーム,歌舞伎,コスプレ
森川,さとみ,和歌山県,紀の川市,A,アニメ,パチンコ,アクアリウム,博物館巡り,ルービックキューブ
長浜,愛子,島根県,益田市,A,歌舞伎,アニメ,映画鑑賞,イラスト,燻製づくり
中田,そら,高知県,高岡郡檮原町,O,天体観測,カラオケ,ランニング（ジョギング）,海,ルービックキューブ
木田,法子,岐阜県,岐阜市,O,筋トレ,カフェ巡り,ドライブ,博物館巡り,チェス
満島,洋介,石川県,金沢市,B,瞑想,コスプレ,パワースポット巡り,アロマテラピー,スマホゲーム
赤坂,花緑,千葉県,夷隅郡大多喜町,B,ヨガ,観葉植物,DIY,将棋,俳句・川柳
小池,努,香川県,綾歌郡宇多津町,O,カラーセラピー,ヨガ,カメラ,漫画,パン作り
横田,蒼甫,和歌山県,橋本市,A,アロマテラピー,パワースポット巡り,ハンドメイド（ものづくり）,切り絵,洞窟探索
山本,米蔵,大分県,竹田市,A,温泉巡り,似顔絵,競馬,ネットサーフィン,寺巡り
今井,たかお,京都府,京都市上京区,B,美術館巡り,占い,動物園巡り,クロスバイク,ガーデニング（園芸）
田口,一恵,神奈川県,横浜市鶴見区,A,博物館巡り,デッサン,動物園巡り,散歩,洞窟探索
黒木,美帆,京都府,綾部市,A,動物園巡り,占い,トライアスロン,音楽ライブ,パチンコ
大内,翔子,山形県,西置賜郡小国町,AB,水族館巡り,海,ハンドメイド（ものづくり）,競馬,料理
重松,敏也,熊本県,人吉市,A,バー巡り,ダンス,インテリア,スカッシュ,ランニング（ジョギング）
杉野,真帆,福井県,越前市,B,寺巡り,Twitter,洞窟探索,ルービックキューブ,海
藤沢,めぐみ,北海道,千歳市,A,パワースポット巡り,バイク,博物館巡り,ビリヤード,ルービックキューブ
小野寺,莉緒,広島県,東広島市,AB,カフェ巡り,キャンプ,クロスバイク,トランプ,燻製づくり
松原,聡,福岡県,三井郡大刀洗町,B,離島巡り,バレーボール,プログラミング,ルービックキューブ,ペット
井沢,陽介,兵庫県,姫路市,A,ランニング（ジョギング）,瞑想,インスタ,グルメ,アロマテラピー
高倉,ジローラモ,茨城県,土浦市,B,キックボクシング,キックボクシング,コスプレ,釣り,アロマテラピー
伊崎,洋,東京都,中野区,A,ゴルフ,バイク,カービング,クロスバイク,楽器演奏
高嶋,雅之,奈良県,奈良市,B,ボルダリング,カフェ巡り,料理,クロスバイク,ネットサーフィン
八十田,敦,福島県,耶麻郡猪苗代町,A,ダーツ,釣り,温泉巡り,水族館巡り,俳句・川柳
古屋,洋介,熊本県,山鹿市,O,サーフィン,ルービックキューブ,スマホゲーム,ワイン,彫刻
亀山,文世,兵庫県,洲本市,B,ダンス,ブログ,利き酒,ペット,ビリヤード
北田,俊二,東京都,府中市,A,トライアスロン,食べ歩き,ビリヤード,折り紙,美術館巡り
内野,陽介,北海道,恵庭市,B,野球,燻製づくり,クロスバイク,キャンプ,書道（習字）
片山,公顕,福井県,小浜市,A,フットサル（サッカー）,ヨガ,漫画,タイピング,ドライブ
須藤,恵子,山形県,東置賜郡川西町,A,バスケットボール,アイドル,トライアスロン,アイドル,折り紙
工藤,美和子,東京都,青梅市,O,バレーボール,水族館巡り,歌舞伎,スマホゲーム,ブログ
山形,慢太郎,兵庫県,神戸市北区,AB,スカッシュ,彫刻,アニメ,寺巡り,ルービックキューブ
秋山,友以乃,福岡県,北九州市門司区,A,スポーツ観戦,俳句・川柳,キックボクシング,アニメ,グルメ
多部,三郎,香川県,高松市,B,ビリヤード,彫刻,ゴルフ,歌舞伎,バスケットボール
木本,法嗣,兵庫県,加古川市,B,登山,トランプ,アイドル,DIY,美術館巡り
土居,妃里,北海道,岩見沢市,A,キャンプ,カフェ巡り,Twitter,ヨガ,フットサル（サッカー）
角田,たまき,岐阜県,岐阜市,A,海,アイドル,ネットサーフィン,ジャズ,パチンコ
本間,由宇,山口県,周南市,O,散歩,スカッシュ,競馬,アロマテラピー,楽器演奏
板垣,直人,京都府,京都市西京区,O,釣り,天体観測,サバゲー,観葉植物,折り紙
相原,沙知絵,長野県,中野市,B,洞窟探索,歌舞伎,書道（習字）,パン作り,オセロ
浜田,和香,奈良県,大和郡山市,A,テレビゲーム,グルメ,インスタ,野球,博物館巡り
日高,亮介,北海道,帯広市,O,スマホゲーム,アロマテラピー,オセロ,カラオケ,切り絵
小松,樹里,栃木県,宇都宮市,B,トランプ,ヨガ,筋トレ,バレーボール,アイドル
菊池,将也,大阪府,大阪市中央区,A,俳句・川柳,映画鑑賞,アニメ,ランニング（ジョギング）,スカッシュ
内田,三省,福島県,伊達郡桑折町,O,チェス,プラモデル,野菜ソムリエ,瞑想,似顔絵
川田,あおい,福島県,大沼郡会津美里町,A,将棋,ビリヤード,コスプレ,ファッション,Twitter
牧田,希,鳥取県,鳥取市,AB,囲碁,トランプ,ラジオ,ネットサーフィン,博物館巡り
山城,茂樹,新潟県,新潟市西区,O,オセロ,パチンコ,寺巡り,パワースポット巡り,ボードゲーム
井川,明慶,新潟県,魚沼市,B,ボードゲーム,ボードゲーム,料理,スマホゲーム,パワースポット巡り
小島,哲平,茨城県,北相馬郡利根町,O,ルービックキューブ,ハンドメイド（ものづくり）,食べ歩き,フットサル（サッカー）,カラオケ
志田,ちえみ,三重県,名張市,B,トレーディングカードゲーム,将棋,トレーディングカードゲーム,利き酒,テレビゲーム
平尾,美里,新潟県,新潟市南区,A,DIY,料理,プログラミング,観葉植物,登山
土谷,薫,宮城県,石巻市,O,料理,楽器演奏,ラーメン,温泉巡り,フットサル（サッカー）
小堀,美佐子,茨城県,土浦市,O,イラスト,折り紙,楽器演奏,ボードゲーム,海
村木,佑,鳥取県,鳥取市,O,ハンドメイド（ものづくり）,食べ歩き,音楽ライブ,インテリア,野球
前田,隼士,京都府,京都市下京区,B,プラモデル,バイク,外国語（中国語・フランス語・英会話）,Twitter,ボルダリング
古谷,涼,北海道,江別市,B,パン作り,燻製づくり,ボルダリング,囲碁,俳句・川柳
